,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
129,Coromandel Int,794.2,17.08,0.0,45.34,175.55,1323.0,12.0,9.31,25.8,NIFTY_COMMODITIES,profit
130,Dalmia Bharat,1990.95,24.2,0.23,65.65,684.49,1243.0,1.33,11.81,9.74,NIFTY_COMMODITIES,profit
131,Grasim,1792.65,22.12,0.95,65.57,1558.52,6560.0,9.0,8.89,6.57,NIFTY_COMMODITIES,profit
132,Hindalco,445.4,20.87,0.98,15.66,299.73,5177.0,3.0,2.63,5.23,NIFTY_COMMODITIES,profit
133,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_COMMODITIES,profit
134,Hind Zinc,332.65,14.45,0.2,18.89,76.48,7980.0,21.3,35.26,24.69,NIFTY_COMMODITIES,profit
135,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_COMMODITIES,profit
136,Jindal Steel,381.9,9.64,0.68,35.63,303.3,5526.0,0.0,10.94,11.42,NIFTY_COMMODITIES,profit
137,JSW Steel,662.35,14.23,1.11,32.91,152.8,7872.0,6.5,9.85,16.91,NIFTY_COMMODITIES,profit
138,NMDC,138.2,6.54,0.07,20.7,102.02,6247.0,7.76,40.64,21.0,NIFTY_COMMODITIES,profit
139,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_COMMODITIES,profit
140,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_COMMODITIES,profit
141,PI Industries,2897.2,45.24,0.05,49.92,351.47,733.0,5.0,16.03,13.81,NIFTY_COMMODITIES,profit
142,Pidilite Ind,2414.45,81.28,0.04,22.26,114.78,1122.0,8.5,15.38,20.22,NIFTY_COMMODITIES,profit
143,Reliance,2464.0,26.23,0.32,76.37,1240.39,53223.0,7.0,11.39,7.01,NIFTY_COMMODITIES,profit
144,Shree Cements,27691.05,46.51,0.12,633.54,4281.75,2289.0,60.0,16.98,14.84,NIFTY_COMMODITIES,profit
145,Tata Power,249.9,32.57,1.85,3.17,74.32,611.0,1.55,1.74,5.41,NIFTY_COMMODITIES,profit
146,Tata Steel,1220.05,12.73,1.11,63.78,640.69,7862.0,25.0,5.03,10.19,NIFTY_COMMODITIES,profit
147,Ramco Cements,1021.9,29.49,0.54,34.0,243.24,763.0,3.0,14.43,13.67,NIFTY_COMMODITIES,profit
148,Torrent Power,540.6,15.78,0.66,26.86,212.65,1295.0,11.0,10.64,12.67,NIFTY_COMMODITIES,profit
149,UltraTechCement,7857.7,35.58,0.4,189.4,1530.59,5316.0,37.0,12.2,12.36,NIFTY_COMMODITIES,profit
150,UPL,755.6,17.63,1.32,36.4,282.27,3453.0,10.0,8.92,16.03,NIFTY_COMMODITIES,profit
151,Vedanta,338.2,7.3,0.8,31.32,208.11,15033.0,9.5,17.07,18.62,NIFTY_COMMODITIES,profit
152,Apollo Hospital,5733.95,270.27,0.54,10.74,333.96,136.0,3.0,1.28,3.26,NIFTY_CONSUMPTION,profit
153,Asian Paints,3230.25,77.53,0.03,32.73,137.92,3178.0,17.85,14.63,24.51,NIFTY_CONSUMPTION,profit
154,Avenue Supermar,5126.4,168.48,0.0,16.97,188.09,1099.0,0.0,4.55,9.02,NIFTY_CONSUMPTION,profit
155,Bajaj Auto,3583.8,21.86,0.0,167.9,942.51,4550.0,140.0,16.4,17.8,NIFTY_CONSUMPTION,profit
156,Berger Paints,792.15,103.24,0.11,7.41,34.84,725.0,2.8,10.63,21.31,NIFTY_CONSUMPTION,profit
157,Bharti Airtel,720.05,-18.36,2.2,-27.65,147.9,-23327.0,0.0,-12.19,-25.58,NIFTY_CONSUMPTION,loss
158,Britannia,3615.05,46.82,0.59,77.43,148.78,1849.0,157.5,14.08,52.53,NIFTY_CONSUMPTION,profit
159,Colgate,1484.15,40.96,0.0,38.07,42.86,1035.0,38.0,21.38,88.8,NIFTY_CONSUMPTION,profit
160,CG Consumer,458.45,39.93,0.15,9.83,30.77,616.0,5.5,12.83,31.92,NIFTY_CONSUMPTION,profit
161,Dabur India,608.0,56.42,0.06,9.58,43.57,1695.0,4.75,17.76,22.09,NIFTY_CONSUMPTION,profit
162,Eicher Motors,2674.2,52.82,0.01,49.3,418.52,1315.0,17.0,15.08,11.77,NIFTY_CONSUMPTION,profit
163,Godrej Consumer,921.65,43.35,0.08,16.83,92.31,1720.0,0.0,15.6,18.23,NIFTY_CONSUMPTION,profit
164,Havells India,1375.25,62.97,0.08,16.68,82.69,1044.0,6.5,9.98,20.17,NIFTY_CONSUMPTION,profit
165,Hero Motocorp,2749.35,19.95,0.02,146.07,778.76,2982.0,105.0,9.63,18.92,NIFTY_CONSUMPTION,profit
166,HUL,2391.15,71.45,0.0,34.03,202.95,8000.0,31.0,17.0,16.77,NIFTY_CONSUMPTION,profit
167,Info Edge,6545.0,38.39,0.0,111.51,430.92,1620.0,0.0,144.68,25.77,NIFTY_CONSUMPTION,profit
168,Interglobe Avi,2332.0,-10.82,23.87,-150.89,2.73,-5806.0,0.0,-39.65,-5530.98,NIFTY_CONSUMPTION,loss
169,ITC,239.5,20.42,0.0,10.7,49.31,13389.0,10.75,27.17,21.8,NIFTY_CONSUMPTION,profit
170,Jubilant Food,3922.25,165.87,0.0,17.55,108.83,230.0,6.0,6.96,16.23,NIFTY_CONSUMPTION,profit
171,M&M,954.45,48.7,1.43,16.33,456.2,2425.0,8.75,0.31,4.35,NIFTY_CONSUMPTION,profit
172,Marico,551.75,45.3,0.11,9.08,25.26,1201.0,7.5,14.92,36.17,NIFTY_CONSUMPTION,profit
