,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,
87,Tata Elxsi,"6,552.75",-0.59,"164,665","6,552.75",0.00,742,0,"6,651.15","6,591.80",
88,Tata Power,239.85,0.04,"42,038,250",239.85,0.00,497,0,242.00,239.75,
89,Ramco Cements,"1,067.00",0.16,"210,199",0.00,"1,067.00",0,106,"1,066.20","1,065.25",
90,Torrent Power,539.30,0.75,"1,334,026",0.00,539.30,0,"1,510",535.30,535.30,
91,Trent,"1,149.15",0.17,"502,799",0.00,"1,149.15",0,8,"1,150.20","1,147.20",
92,TVS Motor,729.05,-2.41,"4,094,224",0.00,729.05,0,"2,161",752.00,747.05,
93,Union Bank,50.00,0.81,"21,666,644",0.00,50.00,0,"3,614",49.70,49.60,
94,V-Guard Ind,253.00,0.08,"180,747",253.00,0.00,"1,040",0,252.20,252.80,
95,Varun Beverages,971.85,5.45,"667,697",971.85,0.00,"2,140",0,928.70,921.60,
96,Vodafone Idea,10.30,4.57,"285,024,686",0.00,10.30,0,"390,752",9.95,9.85,
97,Voltas,"1,264.35",1.24,"569,624",0.00,"1,264.35",0,1,"1,255.50","1,248.90",
98,Whirlpool,"2,276.95",-1.73,"254,066","2,276.95",0.00,9,0,"2,330.00","2,317.05",
99,Zee Entertain,312.70,-0.43,"13,094,002",0.00,312.70,0,"17,817",322.50,314.05,
0,Adani Ports,750.30,2.07,"4,585,484",0.00,750.30,0,"3,055",737.70,735.10,
1,Asian Paints,"3,122.90",1.94,"682,344",0.00,"3,122.90",0,30,"3,089.00","3,063.50",
2,Axis Bank,736.05,-0.27,"9,372,897",0.00,736.05,0,"1,026",742.80,738.05,
3,Bajaj Auto,"3,635.05",-3.06,"745,428","3,635.05",0.00,129,0,"3,782.00","3,749.95",
4,Bajaj Finance,"7,579.10",1.70,"497,128",0.00,"7,579.10",0,11,"7,500.00","7,452.70",
5,Bajaj Finserv,"18,273.80",2.25,"207,802",0.00,"18,273.80",0,30,"18,135.00","17,871.35",
6,BPCL,427.70,0.56,"2,144,462",427.70,0.00,191,0,428.00,425.30,
7,Bharti Airtel,743.50,2.05,"9,207,508",0.00,743.50,0,"9,312",733.00,728.60,
8,Britannia,"3,687.95",1.22,"275,060","3,687.95",0.00,80,0,"3,668.60","3,643.40",
9,Cipla,915.95,1.22,"936,613",0.00,915.95,0,"1,147",910.80,904.90,
10,Coal India,166.95,-0.03,"7,027,513",166.95,0.00,"156,251",0,168.85,167.00,
11,Divis Labs,"4,843.80",0.22,"356,046","4,843.80",0.00,223,0,"4,895.45","4,833.25",
12,Dr Reddys Labs,"4,843.25",0.59,"233,342",0.00,"4,843.25",0,45,"4,850.00","4,814.95",
13,Eicher Motors,"2,723.00",0.69,"879,209",0.00,"2,723.00",0,117,"2,725.00","2,704.35",
14,Grasim,"1,858.45",0.76,"1,152,941","1,858.45",0.00,10,0,"1,857.90","1,844.35",
15,HCL Tech,"1,172.35",1.00,"3,812,518","1,172.35",0.00,732,0,"1,168.90","1,160.70",
16,HDFC Bank,"1,553.00",0.30,"7,457,046","1,553.00",0.00,337,0,"1,550.00","1,548.30",
17,HDFC Life,720.60,2.56,"5,345,270",720.60,0.00,216,0,708.85,702.60,
18,Hero Motocorp,"2,683.05",-0.66,"352,693",0.00,"2,683.05",0,40,"2,720.00","2,700.90",
19,Hindalco,468.55,3.22,"17,010,073",0.00,468.55,0,874,460.50,453.95,
20,HUL,"2,404.95",1.21,"1,651,974","2,404.95",0.00,81,0,"2,388.00","2,376.20",
21,HDFC,"2,992.65",2.88,"2,802,442",0.00,"2,992.65",0,694,"2,925.00","2,908.85",
22,ICICI Bank,776.60,0.67,"15,380,106",776.60,0.00,"5,282",0,772.70,771.45,
23,IOC,132.95,-0.26,"9,503,361",132.95,0.00,552,0,134.00,133.30,
24,IndusInd Bank,"1,037.05",0.36,"3,479,296",0.00,"1,037.05",0,422,"1,040.00","1,033.30",
25,Infosys,"1,780.20",2.71,"5,069,009",0.00,"1,780.20",0,"1,553","1,743.00","1,733.30",
26,ITC,232.90,1.26,"11,855,531",232.90,0.00,590,0,231.20,230.00,
27,JSW Steel,671.35,0.59,"2,542,949",671.35,0.00,505,0,672.05,667.40,
28,Kotak Mahindra,"2,074.70",1.00,"1,434,428","2,074.70",0.00,12,0,"2,068.00","2,054.10",
29,Larsen,"1,959.95",1.46,"2,026,320","1,959.95",0.00,201,0,"1,940.00","1,931.70",
30,M&M,937.80,1.41,"6,239,600",0.00,937.80,0,"4,268",934.00,924.75,
31,Maruti Suzuki,"7,479.85",0.35,"349,666",0.00,"7,479.85",0,"1,395","7,530.00","7,453.45",
32,Nestle,"19,142.45",1.53,"66,512","19,142.45",0.00,49,0,"18,950.00","18,854.00",
33,NTPC,136.45,-0.15,"9,306,659",0.00,136.45,0,"1,057",138.20,136.65,
34,ONGC,154.65,0.75,"10,552,485",154.65,0.00,"6,937",0,154.00,153.50,
35,Power Grid Corp,182.00,-0.08,"7,193,005",182.00,0.00,670,0,183.70,182.15,
36,Reliance,"2,593.10",1.51,"4,020,744",0.00,"2,593.10",0,"7,865","2,562.90","2,554.55",
37,SBI Life Insura,"1,174.90",1.88,"1,281,030",0.00,"1,174.90",0,302,"1,154.00","1,153.20",
38,Shree Cements,"29,388.90",1.30,"23,683","29,388.90",0.00,16,0,"29,228.45","29,010.55",
39,SBI,511.35,0.34,"19,836,221",0.00,511.35,0,327,512.00,509.60,
40,Sun Pharma,806.50,1.47,"2,076,523",0.00,806.50,0,315,803.95,794.85,
41,TCS,"3,526.05",1.09,"1,747,259",0.00,"3,526.05",0,"1,492","3,506.00","3,488.20",
42,TATA,847.90,1.22,"1,180,441",0.00,847.90,0,"2,771",842.25,837.65,
43,Tata Motors,507.05,0.72,"20,731,808",507.05,0.00,"2,838",0,506.95,503.45,
44,Tata Steel,"1,287.25",-0.95,"23,239,558",0.00,"1,287.25",0,434,"1,340.00","1,299.60",
45,Tech Mahindra,"1,585.00",4.14,"3,713,868",0.00,"1,585.00",0,"1,365","1,538.50","1,521.95",
46,Titan Company,"2,539.50",0.45,"1,673,817",0.00,"2,539.50",0,"1,103","2,547.85","2,528.10",
47,UltraTechCement,"8,080.75",0.37,"180,509","8,080.75",0.00,13,0,"8,085.00","8,050.65",
48,UPL,769.55,0.63,"1,608,464",0.00,769.55,0,"2,165",770.00,764.70,
49,Wipro,660.05,2.84,"6,063,253",660.05,0.00,"4,123",0,648.00,641.80,
0,Abbott India,"19,754.65",-1.18,"11,666",0.00,"19,754.65",0,69,"20,001.00","19,990.45",
1,ACC,"2,571.95",0.54,"303,364",0.00,"2,571.95",0,885,"2,568.00","2,558.20",
2,Adani Enterpris,"1,705.20",2.42,"5,349,189",0.00,"1,705.20",0,"5,276","1,678.30","1,664.90",
3,Adani Green Ene,"1,292.30",5.00,"1,685,194","1,292.30",0.00,"105,846",0,"1,248.00","1,230.80",
4,Adani Ports,750.30,2.07,"4,585,484",0.00,750.30,0,"3,055",737.70,735.10,
5,Adani Trans,"1,988.35",5.00,"206,635","1,988.35",0.00,661,0,"1,929.75","1,893.70",
6,Alkem Lab,"3,550.20",0.57,"561,320",0.00,"3,550.20",0,259,"3,540.05","3,530.20",
7,Ambuja Cements,422.85,0.39,"1,246,774",422.85,0.00,529,0,424.00,421.20,
8,Apollo Hospital,"4,669.50",2.24,"423,439","4,669.50",0.00,13,0,"4,612.90","4,567.25",
9,Asian Paints,"3,122.90",1.94,"682,344",0.00,"3,122.90",0,30,"3,089.00","3,063.50",
10,Aurobindo Pharm,687.90,0.20,"1,243,951",687.90,0.00,"1,550",0,690.00,686.55,
11,Avenue Supermar,"5,078.55",1.62,"487,061",0.00,"5,078.55",0,"1,886","5,044.95","4,997.75",
12,Axis Bank,736.05,-0.27,"9,372,897",0.00,736.05,0,"1,026",742.80,738.05,
13,Bajaj Auto,"3,635.05",-3.06,"745,428","3,635.05",0.00,129,0,"3,782.00","3,749.95",
14,Bajaj Finance,"7,579.10",1.70,"497,128",0.00,"7,579.10",0,11,"7,500.00","7,452.70",
15,Bajaj Finserv,"18,273.80",2.25,"207,802",0.00,"18,273.80",0,30,"18,135.00","17,871.35",
16,Bajaj Holdings,"4,984.30",1.48,"27,712",0.00,0.00,0,0,"4,975.00","4,911.60",
17,Bandhan Bank,310.90,1.32,"4,369,452",310.90,0.00,"3,971",0,309.70,306.85,
18,Berger Paints,794.50,1.97,"984,960",794.50,0.00,"1,105",0,783.30,779.15,
19,BPCL,427.70,0.56,"2,144,462",427.70,0.00,191,0,428.00,425.30,
20,Bharti Airtel,743.50,2.05,"9,207,508",0.00,743.50,0,"9,312",733.00,728.60,
21,Biocon,346.45,-0.04,"704,956",346.45,0.00,300,0,347.50,346.60,
22,Bosch,"18,565.75",1.73,"69,916",0.00,"18,565.75",0,111,"18,344.50","18,249.90",
23,Britannia,"3,687.95",1.22,"275,060","3,687.95",0.00,80,0,"3,668.60","3,643.40",
24,Cadila Health,492.60,0.13,"1,229,164",492.60,0.00,255,0,492.50,491.95,
25,Cipla,915.95,1.22,"936,613",0.00,915.95,0,"1,147",910.80,904.90,
26,Coal India,166.95,-0.03,"7,027,513",166.95,0.00,"156,251",0,168.85,167.00,
27,Colgate,"1,522.90",-0.93,"430,703","1,522.90",0.00,511,0,"1,539.00","1,537.20",
28,Dabur India,602.45,0.58,"2,304,135",0.00,602.45,0,278,602.00,599.00,
29,Divis Labs,"4,843.80",0.22,"356,046","4,843.80",0.00,223,0,"4,895.45","4,833.25",
30,DLF,428.35,2.97,"5,871,736",0.00,428.35,0,"4,475",418.50,416.00,
31,Dr Reddys Labs,"4,843.25",0.59,"233,342",0.00,"4,843.25",0,45,"4,850.00","4,814.95",
32,Eicher Motors,"2,723.00",0.69,"879,209",0.00,"2,723.00",0,117,"2,725.00","2,704.35",
33,GAIL,148.00,-1.00,"7,010,851",148.00,0.00,"1,720",0,150.15,149.50,
34,Gland,"3,449.75",-2.86,"145,918",0.00,"3,449.75",0,745,"3,552.00","3,551.15",
35,Godrej Consumer,919.60,-3.27,"2,401,940",919.60,0.00,104,0,957.80,950.65,
36,Grasim,"1,858.45",0.76,"1,152,941","1,858.45",0.00,10,0,"1,857.90","1,844.35",
37,Havells India,"1,372.70",2.00,"1,056,339",0.00,"1,372.70",0,9,"1,356.45","1,345.80",
38,HCL Tech,"1,172.35",1.00,"3,812,518","1,172.35",0.00,732,0,"1,168.90","1,160.70",
39,HDFC AMC,"2,678.70",1.16,"135,309",0.00,"2,678.70",0,34,"2,659.95","2,647.95",
40,HDFC Bank,"1,553.00",0.30,"7,457,046","1,553.00",0.00,337,0,"1,550.00","1,548.30",
41,HDFC Life,720.60,2.56,"5,345,270",720.60,0.00,216,0,708.85,702.60,
42,Hero Motocorp,"2,683.05",-0.66,"352,693",0.00,"2,683.05",0,40,"2,720.00","2,700.90",
43,Hindalco,468.55,3.22,"17,010,073",0.00,468.55,0,874,460.50,453.95,
44,HPCL,347.00,1.31,"3,404,889",347.00,0.00,270,0,344.20,342.50,
45,HUL,"2,404.95",1.21,"1,651,974","2,404.95",0.00,81,0,"2,388.00","2,376.20",
46,HDFC,"2,992.65",2.88,"2,802,442",0.00,"2,992.65",0,694,"2,925.00","2,908.85",
47,ICICI Bank,776.60,0.67,"15,380,106",776.60,0.00,"5,282",0,772.70,771.45,
48,ICICI Lombard,"1,510.25",0.16,"286,747","1,510.25",0.00,28,0,"1,519.00","1,507.80",
49,ICICI Prudentia,672.60,4.76,"4,491,815",672.60,0.00,33,0,648.35,642.05,
50,IOC,132.95,-0.26,"9,503,361",132.95,0.00,552,0,134.00,133.30,
51,IGL,497.70,-0.39,"1,170,158",0.00,497.70,0,"1,204",502.95,499.65,
52,INDUS TOWERS,293.10,0.67,"3,211,857",0.00,293.10,0,"1,004",292.70,291.15,
53,IndusInd Bank,"1,037.05",0.36,"3,479,296",0.00,"1,037.05",0,422,"1,040.00","1,033.30",
54,Info Edge,"6,406.50",4.21,"513,495",0.00,"6,406.50",0,37,"6,169.00","6,147.60",
55,Infosys,"1,780.20",2.71,"5,069,009",0.00,"1,780.20",0,"1,553","1,743.00","1,733.30",
56,Interglobe Avi,"2,306.25",7.39,"4,162,955",0.00,"2,306.25",0,510,"2,164.00","2,147.45",
57,ITC,232.90,1.26,"11,855,531",232.90,0.00,590,0,231.20,230.00,
58,JSW Steel,671.35,0.59,"2,542,949",671.35,0.00,505,0,672.05,667.40,
59,Jubilant Food,"4,003.75",2.66,"1,024,622",0.00,"4,003.75",0,180,"3,934.00","3,900.05",
