,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
125,TV18 Broadcast,44.90,10.81,0.21,2.66,31.23,686.00,0.00,15.25,10.86,NIFTY,MEDIA,,,,
126,Zee Entertain,320.20,24.39,0.00,8.33,105.18,793.00,2.50,10.26,7.92,NIFTY,MEDIA,,,,
127,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,ENERGY,
128,Adani Green Ene,"1,313.50","1,624.78",27.22,0.68,5.03,176.00,0.00,5.63,24.39,NIFTY,ENERGY,,,,
129,BPCL,413.80,5.23,0.75,81.87,255.89,"17,645.00",79.00,7.66,30.18,NIFTY,ENERGY,,,,
130,GAIL,145.00,9.96,0.13,13.61,119.99,"4,428.00",5.00,7.71,11.53,NIFTY,ENERGY,,,,
131,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,NIFTY,ENERGY,,,,
132,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,NIFTY,ENERGY,,,,
133,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,ENERGY,,,,
134,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,NIFTY,ENERGY,,,,
135,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,"11,821.00",12.00,29.82,17.21,NIFTY,ENERGY,,,,
136,Reliance,"2,464.00",26.23,0.32,76.37,"1,240.39","53,223.00",7.00,11.39,7.01,NIFTY,ENERGY,,,,
137,Tata Power,249.90,32.57,1.85,3.17,74.32,611.00,1.55,1.74,5.41,NIFTY,ENERGY,,,,
138,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,Nifty,Pvt,Bank
139,Axis Bank,712.35,28.83,0.00,24.19,338.13,"7,252.00",0.00,11.20,6.94,Nifty,Pvt,Bank,,,
140,Bandhan Bank,311.20,24.74,0.00,13.70,108.09,"2,205.00",0.00,17.60,12.66,Nifty,Pvt,Bank,,,
141,Federal Bank,97.10,9.09,0.00,8.34,82.65,"1,647.00",0.00,11.50,10.08,Nifty,Pvt,Bank,,,
142,HDFC Bank,"1,530.80",25.81,0.00,57.88,380.59,"31,857.00",6.50,24.78,15.17,Nifty,Pvt,Bank,,,
143,ICICI Bank,761.30,21.35,0.00,27.26,223.31,"20,220.00",0.00,22.83,11.90,Nifty,Pvt,Bank,,,
144,IDFC First Bank,49.50,63.30,0.00,0.88,31.54,483.00,0.00,3.02,2.69,Nifty,Pvt,Bank,,,
145,IndusInd Bank,"1,034.00",23.84,0.00,40.03,558.43,"2,930.00",0.00,10.10,6.78,Nifty,Pvt,Bank,,,
146,Kotak Mahindra,"2,053.10",34.69,0.00,50.53,425.56,"9,903.00",0.00,30.17,11.84,Nifty,Pvt,Bank,,,
147,RBL Bank,207.60,21.29,0.00,9.75,211.79,529.00,0.00,6.18,4.18,Nifty,Pvt,Bank,,,
148,Yes Bank,13.00,-9.45,0.00,-1.65,13.23,"-3,489.00",0.00,-17.41,-10.52,Nifty,Pvt,Bank,,,
149,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,INFRA,
150,ACC,"2,471.55",0.00,0.01,76.16,675.69,"1,421.00",14.00,10.30,11.26,NIFTY,INFRA,,,,
151,Adani Ports,735.55,28.58,1.09,24.58,157.16,"5,063.00",5.00,40.34,16.39,NIFTY,INFRA,,,,
152,Ambuja Cements,409.15,0.00,0.00,11.91,146.54,"3,092.00",18.00,12.61,10.39,NIFTY,INFRA,,,,
153,Apollo Hospital,"5,733.95",270.27,0.54,10.74,333.96,136.00,3.00,1.28,3.26,NIFTY,INFRA,,,,
154,Ashok Leyland,146.00,-106.07,0.53,-1.07,23.77,-313.00,0.00,-2.05,-4.49,NIFTY,INFRA,,,,
155,Balkrishna Ind,"2,322.15",27.72,0.17,60.91,310.39,"1,177.00",17.00,20.36,19.62,NIFTY,INFRA,,,,
156,BPCL,413.80,5.23,0.75,81.87,255.89,"17,645.00",79.00,7.66,30.18,NIFTY,INFRA,,,,
157,Bharti Airtel,720.05,-18.36,2.20,-27.65,147.90,"-23,327.00",0.00,-12.19,-25.58,NIFTY,INFRA,,,,
158,Container Corp,665.25,72.75,0.01,8.22,168.90,469.00,5.00,7.30,4.95,NIFTY,INFRA,,,,
159,DLF,417.95,64.94,0.16,4.42,142.87,477.00,2.00,8.81,3.09,NIFTY,INFRA,,,,
160,Exide Ind,177.50,19.27,0.02,9.53,86.10,803.00,2.00,5.25,11.13,NIFTY,INFRA,,,,
161,GAIL,145.00,9.96,0.13,13.61,119.99,"4,428.00",5.00,7.71,11.53,NIFTY,INFRA,,,,
162,Grasim,"1,792.65",22.12,0.95,65.57,"1,558.52","6,560.00",9.00,8.89,6.57,NIFTY,INFRA,,,,
163,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,NIFTY,INFRA,,,,
164,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,NIFTY,INFRA,,,,
165,IGL,497.10,30.59,0.00,16.75,90.49,"1,046.00",3.60,19.24,18.51,NIFTY,INFRA,,,,
166,INDUS TOWERS,288.40,13.98,0.44,17.52,58.91,"2,912.00",20.12,20.87,23.80,NIFTY,INFRA,,,,
167,Interglobe Avi,"2,332.00",-10.82,23.87,-150.89,2.73,"-5,806.00",0.00,-39.65,"-5,530.98",NIFTY,INFRA,,,,
168,Larsen,"1,952.90",17.20,1.73,82.49,625.97,"4,668.00",36.00,9.49,15.26,NIFTY,INFRA,,,,
169,MRF,"79,374.15",0.00,0.13,"3,011.14","31,636.34","1,277.00",150.00,7.90,9.52,NIFTY,INFRA,,,,
170,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,INFRA,,,,
171,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,NIFTY,INFRA,,,,
172,Petronet LNG,228.05,11.47,0.00,19.59,78.71,"2,920.00",11.50,11.22,24.89,NIFTY,INFRA,,,,
173,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,"11,821.00",12.00,29.82,17.21,NIFTY,INFRA,,,,
174,Reliance,"2,464.00",26.23,0.32,76.37,"1,240.39","53,223.00",7.00,11.39,7.01,NIFTY,INFRA,,,,
175,Shree Cements,"27,691.05",46.51,0.12,633.54,"4,281.75","2,289.00",60.00,16.98,14.84,NIFTY,INFRA,,,,
176,Siemens,"2,353.35",0.00,0.00,21.59,266.63,769.00,7.00,7.72,8.09,NIFTY,INFRA,,,,
177,Tata Power,249.90,32.57,1.85,3.17,74.32,611.00,1.55,1.74,5.41,NIFTY,INFRA,,,,
178,Ramco Cements,"1,021.90",29.49,0.54,34.00,243.24,763.00,3.00,14.43,13.67,NIFTY,INFRA,,,,
179,UltraTechCement,"7,857.70",35.58,0.40,189.40,"1,530.59","5,316.00",37.00,12.20,12.36,NIFTY,INFRA,,,,
180,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,COMMODITIES,
181,Aarti Ind,987.20,21.93,0.71,30.04,201.71,535.00,3.00,11.87,14.94,NIFTY,COMMODITIES,,,,
182,ACC,"2,471.55",0.00,0.01,76.16,675.69,"1,421.00",14.00,10.30,11.26,NIFTY,COMMODITIES,,,,
183,Adani Green Ene,"1,313.50","1,624.78",27.22,0.68,5.03,176.00,0.00,5.63,24.39,NIFTY,COMMODITIES,,,,
184,Ambuja Cements,409.15,0.00,0.00,11.91,146.54,"3,092.00",18.00,12.61,10.39,NIFTY,COMMODITIES,,,,
185,Atul,"9,048.75",32.03,0.03,221.17,"1,302.65",652.00,20.00,17.49,17.13,NIFTY,COMMODITIES,,,,
186,BPCL,413.80,5.23,0.75,81.87,255.89,"17,645.00",79.00,7.66,30.18,NIFTY,COMMODITIES,,,,
187,Coal India,156.10,6.32,0.16,20.61,59.97,"12,705.00",16.00,14.11,34.77,NIFTY,COMMODITIES,,,,
188,Coromandel Int,794.20,17.08,0.00,45.34,175.55,"1,323.00",12.00,9.31,25.80,NIFTY,COMMODITIES,,,,
189,Dalmia Bharat,"1,990.95",24.20,0.23,65.65,684.49,"1,243.00",1.33,11.81,9.74,NIFTY,COMMODITIES,,,,
190,Grasim,"1,792.65",22.12,0.95,65.57,"1,558.52","6,560.00",9.00,8.89,6.57,NIFTY,COMMODITIES,,,,
191,Hindalco,445.40,20.87,0.98,15.66,299.73,"5,177.00",3.00,2.63,5.23,NIFTY,COMMODITIES,,,,
192,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,NIFTY,COMMODITIES,,,,
193,Hind Zinc,332.65,14.45,0.20,18.89,76.48,"7,980.00",21.30,35.26,24.69,NIFTY,COMMODITIES,,,,
194,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,NIFTY,COMMODITIES,,,,
195,Jindal Steel,381.90,9.64,0.68,35.63,303.30,"5,526.00",0.00,10.94,11.42,NIFTY,COMMODITIES,,,,
