,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,,
142,EngineersInd,71.10,-0.56,"1,274,040",71.10,0.00,"3,111",0,71.05,71.50,,
143,EPL,211.70,-1.97,"343,987",0.00,211.70,0,55,219.20,215.95,,
144,Equitas Holding,126.35,-1.33,"690,181",126.35,0.00,635,0,126.30,128.05,,
145,Eris Life,781.95,2.48,"48,229",781.95,0.00,241,0,759.10,763.05,,
146,Escorts,"1,580.75",3.91,"2,365,813","1,580.75",0.00,"11,062",0,"1,535.00","1,521.30",,
147,Exide Ind,181.35,0.08,"916,199",181.35,0.00,172,0,181.90,181.20,,
148,FDC,306.25,-3.47,"505,485",306.25,0.00,6,0,315.00,317.25,,
149,Federal Bank,100.10,-0.10,"13,928,829",0.00,100.10,0,"11,807",100.95,100.20,,
150,Fine Organics,"3,298.20",-1.03,"7,834",0.00,"3,298.20",0,50,"3,333.00","3,332.55",,
151,Finolex Cables,505.05,1.63,"293,324",505.05,0.00,"2,041",0,498.90,496.95,,
152,Finolex Ind,226.80,1.30,"884,881",0.00,226.80,0,"1,414",225.45,223.90,,
153,Firstsource Sol,177.55,-0.84,"3,507,485",177.55,0.00,"7,707",0,182.00,179.05,,
154,Fortis Health,257.25,1.14,"925,315",0.00,257.25,0,"7,816",256.65,254.35,,
155,Future Consumer,7.15,2.14,"5,952,206",7.15,0.00,"73,507",0,7.05,7.00,,
156,Future Retail,49.75,-0.10,"905,752",0.00,49.75,0,796,49.80,49.80,,
157,GAIL,148.00,-1.00,"7,010,851",148.00,0.00,"1,720",0,150.15,149.50,,
158,Galaxy Surfacta,"2,972.45",-2.14,"28,693",0.00,"2,972.45",0,148,"3,052.60","3,037.40",,
159,Garden Reach Sh,265.40,-2.71,"840,486",265.40,0.00,"2,424",0,274.50,272.80,,
160,Garware Technic,"3,481.15",0.79,"21,980","3,481.15",0.00,35,0,"3,410.50","3,453.90",,
161,GE Power India,274.85,-1.86,"117,925",274.85,0.00,34,0,285.80,280.05,,
162,General Insuran,147.35,-0.41,"1,650,822",0.00,147.35,0,226,149.00,147.95,,
163,Gillette India,"5,702.45",0.81,"3,494","5,702.45",0.00,21,0,"5,700.00","5,656.55",,
164,Gland,"3,449.75",-2.86,"145,918",0.00,"3,449.75",0,745,"3,552.00","3,551.15",,
165,GlaxoSmithKline,"1,612.35",0.86,"48,981","1,612.35",0.00,345,0,"1,599.00","1,598.55",,
166,Glenmark,523.80,1.74,"1,350,485",523.80,0.00,"21,720",0,514.85,514.85,,
167,GMM Pfaudler,"4,861.45",-1.73,"15,785","4,861.45",0.00,50,0,"4,998.00","4,947.20",,
168,GMR Infra,42.05,-2.32,"21,709,880",0.00,42.05,0,"21,266",43.35,43.05,,
169,Godfrey Phillip,"1,282.40",1.83,"18,371",0.00,0.00,0,0,"1,251.60","1,259.35",,
170,Godrej Agrovet,606.95,-1.41,"95,456",0.00,606.95,0,49,615.85,615.65,,
171,Godrej Consumer,919.60,-3.27,"2,401,940",919.60,0.00,104,0,957.80,950.65,,
172,Godrej Ind,630.15,-0.41,"467,481",0.00,630.15,0,"2,213",636.90,632.75,,
173,Godrej Prop,"2,291.95",-0.04,"1,733,393",0.00,"2,291.95",0,"2,616","2,320.00","2,292.80",,
174,Granules India,311.25,-1.84,"1,346,338",311.25,0.00,370,0,318.10,317.10,,
175,Graphite India,527.75,0.86,"478,104",0.00,527.75,0,72,526.90,523.25,,
176,Grasim,"1,858.45",0.76,"1,152,941","1,858.45",0.00,10,0,"1,857.90","1,844.35",,
177,GE Shipping,333.65,-1.08,"142,737",333.65,0.00,528,0,339.70,337.30,,
178,Greaves Cotton,134.30,-2.40,"736,395",134.30,0.00,683,0,137.50,137.60,,
179,Grindwell Norto,"1,775.05",-0.51,"138,021","1,775.05",0.00,210,0,"1,799.00","1,784.20",,
180,Guj Alkali,680.85,-3.35,"355,358",680.85,0.00,59,0,708.80,704.45,,
181,Guj Amb Exports,177.40,0.34,"293,318",177.40,0.00,883,0,176.80,176.80,,
182,Gujarat Fluoro,"2,158.80",2.42,"177,627","2,158.80",0.00,154,0,"2,149.00","2,107.85",,
183,Gujarat Gas,669.00,2.31,"1,550,486",669.00,0.00,913,0,655.10,653.90,,
184,GNFC,468.95,1.11,"560,574",0.00,468.95,0,"1,546",465.00,463.80,,
185,Gujarat Pipavav,109.95,-2.27,"591,710",0.00,109.95,0,"1,557",111.60,112.50,,
186,GSFC,130.75,-1.69,"1,483,032",130.75,0.00,106,0,133.60,133.00,,
187,Guj State Petro,315.05,-0.41,"974,547",315.05,0.00,95,0,318.50,316.35,,
188,Gulf Oil Lubric,591.00,-1.10,"19,859",591.00,0.00,42,0,605.00,597.60,,
189,Happiest Minds,"1,305.80",0.25,"124,275","1,305.80",0.00,42,0,"1,295.00","1,302.50",,
190,Hatsun Agro,"1,355.20",-2.57,"65,317",0.00,0.00,0,0,"1,405.00","1,390.90",,
191,Havells India,"1,372.70",2.00,"1,056,339",0.00,"1,372.70",0,9,"1,356.45","1,345.80",,
192,HCL Tech,"1,172.35",1.00,"3,812,518","1,172.35",0.00,732,0,"1,168.90","1,160.70",,
193,HDFC AMC,"2,678.70",1.16,"135,309",0.00,"2,678.70",0,34,"2,659.95","2,647.95",,
194,HDFC Bank,"1,553.00",0.30,"7,457,046","1,553.00",0.00,337,0,"1,550.00","1,548.30",,
195,HDFC Life,720.60,2.56,"5,345,270",720.60,0.00,216,0,708.85,702.60,,
196,HEG,"2,149.15",-1.08,"86,888",0.00,"2,149.15",0,156,"2,184.00","2,172.60",,
197,Heidelberg Cem,245.95,-0.38,"58,052",245.95,0.00,136,0,247.00,246.90,,
198,Hero Motocorp,"2,683.05",-0.66,"352,693",0.00,"2,683.05",0,40,"2,720.00","2,700.90",,
199,HFCL,75.75,2.92,"5,383,695",0.00,75.75,0,"252,563",74.40,73.60,,
200,Himadri Special,51.35,-0.10,"2,869,088",51.35,0.00,"4,433",0,51.90,51.40,,
201,Hindalco,468.55,3.22,"17,010,073",0.00,468.55,0,874,460.50,453.95,,
202,Hindustan Aeron,"1,417.15",1.58,"1,380,016","1,417.15",0.00,427,0,"1,415.00","1,395.05",,
203,Hind Copper,127.10,-0.78,"2,313,161",0.00,127.10,0,"1,890",128.50,128.10,,
204,HPCL,347.00,1.31,"3,404,889",347.00,0.00,270,0,344.20,342.50,,
205,HUL,"2,404.95",1.21,"1,651,974","2,404.95",0.00,81,0,"2,388.00","2,376.20",,
206,Hind Zinc,324.05,1.42,"760,512",0.00,324.05,0,256,321.50,319.50,,
207,Honeywell Autom,"44,002.45",-2.64,"5,218",0.00,"44,002.45",0,10,"45,149.95","45,196.40",,
208,HUDCO,42.95,-4.13,"3,486,439",0.00,42.95,0,31,43.85,44.80,,
209,HDFC,"2,992.65",2.88,"2,802,442",0.00,"2,992.65",0,694,"2,925.00","2,908.85",,
210,Huhtamaki India,245.10,-1.37,"29,266",0.00,245.10,0,1,248.35,248.50,,
211,ICICI Bank,776.60,0.67,"15,380,106",776.60,0.00,"5,282",0,772.70,771.45,,
212,ICICI Lombard,"1,510.25",0.16,"286,747","1,510.25",0.00,28,0,"1,519.00","1,507.80",,
213,ICICI Prudentia,672.60,4.76,"4,491,815",672.60,0.00,33,0,648.35,642.05,,
214,ICICI Securitie,801.70,2.99,"356,806",0.00,801.70,0,318,779.00,778.45,,
215,IDBI Bank,52.85,-0.84,"9,578,754",52.85,0.00,862,0,53.45,53.30,,
